neo,pha,full_name,diameter,orbit_id,epoch,e,a,q,i,w,per_y,om,ma,ad,n,moid,H,class,Notes,
Y,N,  1036 Ganymed (A924 UB),37.675,JPL 1259,2460600.5,0.5328,2.665,1.245,26.69,132.5,4.35,215.49,6.98,4.09,0.2265,0.345,9.25,AMO,Largest NEO known; discovered in 1924,
Y,N,  3552 Don Quixote (1983 SA),19,JPL 285,2460600.5,0.7073,4.267,1.249,31.06,316.53,8.81,349.96,263.48,7.29,0.1118,0.342,13.05,AMO,Dual-classified object may be an extinct comet; has highly eccentric orbit (0.71), 
Y,N,   433 Eros (A898 PA),16.84,JPL 659,2460600.5,0.2227,1.458,1.133,10.83,178.91,1.76,304.27,86.67,1.78,0.5597,0.15,10.41,AMO,Visited by NASA's NEAR Shoemaker mission; First asteroid to be orbited and landed upon,
Y,N,  4954 Eric (1990 SQ),10.8,JPL 788,2460600.5,0.4494,2.001,1.102,17.43,52.62,2.83,358.41,347.92,2.9,0.3481,0.194,12.54,AMO,,
Y,N,  1627 Ivar (1929 SH),9.12,JPL 1339,2460600.5,0.397,1.863,1.124,8.45,167.84,2.54,133.08,156.41,2.6,0.3875,0.112,12.84,AMO,,
Y,N,  1866 Sisyphus (1972 XA),8.48,JPL 1031,2460600.5,0.538,1.894,0.875,41.21,293.12,2.61,63.45,349.34,2.91,0.3782,0.104,12.52,APO,,
Y,Y, 53319 (1999 JM8),7,JPL 253,2460600.5,0.6414,2.724,0.977,13.84,166.8,4.49,133.62,228.77,4.47,0.2193,0.0245,15.36,APO,,
Y,N, 52762 (1998 MT24),6.742,JPL 218,2460600.5,0.653,2.416,0.838,33.86,254.53,3.76,308.94,29.2,3.99,0.2624,0.139,14.81,APO,,
Y,N,  7092 Cadmus (1992 LC),6.319,JPL 236,2460600.5,0.6935,2.545,0.78,17.79,94.77,4.06,56.72,30.55,4.31,0.2427,0.102,15.12,APO,,
Y,Y,  3200 Phaethon (1983 TB),6.25,JPL 807,2460600.5,0.8898,1.271,0.14,22.31,322.31,1.43,265.1,248.98,2.4,0.6875,0.0187,14.4,APO,Parent body of the Geminid meteor shower; extremely close approaches to the Sun (0.14 AU),
Y,N,  1580 Betulia (1950 KA),5.8,JPL 308,2460600.5,0.4876,2.195,1.125,52.19,159.73,3.25,62.23,319.03,3.27,0.3031,0.136,14.69,AMO,,
Y,N, 88263 (2001 KQ1),5.748,JPL 325,2460600.5,0.4326,2.097,1.19,38.79,241.58,3.04,232.82,319.85,3,0.3247,0.375,15.69,AMO,,
Y,N,  1917 Cuyo (1968 AA),5.7,JPL 566,2460600.5,0.5057,2.149,1.062,23.96,194.56,3.15,188.28,34.92,3.24,0.3128,0.0719,14.41,AMO,,
Y,N,  2212 Hephaistos (1978 SB),5.7,JPL 671,2460600.5,0.8361,2.166,0.355,11.31,210.05,3.19,27.01,184.81,3.98,0.3091,0.113,13.51,APO,,
Y,N, 25916 (2001 CP44),5.683,JPL 655,2460600.5,0.4991,2.559,1.282,15.76,199.69,4.09,94.64,186.18,3.84,0.2408,0.277,13.78,AMO,,
Y,Y,  4179 Toutatis (1989 AC),5.4,JPL 645,2460600.5,0.6248,2.543,0.954,0.45,277.88,4.06,125.36,339.68,4.13,0.243,0.00649,15.31,APO,"known for its chaotic, tumbling rotation. Passed close to Earth multiple times, last close approach in 2012",
Y,N, 26760 (2001 KP41),5.4,JPL 234,2460600.5,0.5571,2.853,1.264,11.02,155.16,4.82,146.26,289.19,4.44,0.2045,0.261,15.5,AMO,,
Y,N,514041 (2014 MQ18),5.272,JPL 75,2460600.5,0.5987,2.9,1.164,35.06,333,4.94,347.27,4.78,4.64,0.1996,0.196,15.62,AMO,,
Y,N,  5731 Zeus (1988 VP4),5.231,JPL 270,2460600.5,0.6521,2.266,0.788,11.2,218.43,3.41,280.59,166.28,3.74,0.289,0.0641,15.46,APO,,
Y,Y, 89830 (2002 CE),5.067,JPL 366,2460600.5,0.507,2.078,1.024,43.65,5.84,3,19.9,253.27,3.13,0.3291,0.0284,15.01,AMO,,
Y,Y,  3122 Florence (1981 ET3),4.9,JPL 832,2460600.5,0.4231,1.769,1.021,22.14,27.9,2.35,336.05,0.67,2.52,0.4189,0.0449,14.1,AMO,"One of the largest known PHAs, passed safely by Earth in 2017 with two moons",
Y,N,  5143 Heracles (1991 VL),4.843,JPL 767,2460600.5,0.771,1.835,0.42,8.98,228.22,2.49,309.09,45.49,3.25,0.3965,0.0578,14.06,APO,,
Y,N,248590 (2006 CS),4.726,JPL 127,2460600.5,0.6968,2.915,0.884,52.3,346.41,4.98,172.41,258.82,4.95,0.198,0.0974,16.32,APO,,
Y,N,  6455 (1992 HE),4.626,JPL 516,2460600.5,0.5728,2.24,0.957,37.34,262.75,3.35,26.89,230.08,3.52,0.294,0.29,14.1,APO,,
Y,N,256412 (2007 BT2),4.444,JPL 255,2460600.5,0.2239,1.632,1.267,26.86,149.1,2.09,30.97,167.54,2,0.4726,0.292,16.93,AMO,,
Y,N,  1980 Tezcatlipoca (1950 LA),4.3,JPL 803,2460600.5,0.3647,1.71,1.086,26.87,115.51,2.24,246.54,35.06,2.33,0.4409,0.245,13.85,AMO,,
Y,N,  3691 Bede (1982 FT),4.3,JPL 714,2460600.5,0.2844,1.774,1.27,20.35,235.08,2.36,348.7,345.07,2.28,0.417,0.353,14.95,AMO,,
Y,N,  5646 (1990 TR),4.3,JPL 449,2460600.5,0.4357,2.144,1.21,7.91,335.77,3.14,14.1,314.96,3.08,0.314,0.212,15.51,AMO,,
Y,N,162566 (2000 RJ34),4.299,JPL 215,2460600.5,0.5759,2.626,1.114,14.28,145.52,4.26,329.84,179.25,4.14,0.2316,0.167,15.75,AMO,,
Y,N,   887 Alinda (A918 AA),4.2,JPL 500,2460600.5,0.5711,2.473,1.06,9.4,350.47,3.89,110.42,340.2,3.88,0.2535,0.0805,13.88,AMO,Resonant orbit with Jupiter and Earth; a large Amor asteroid with repeated close approaches to Earth,
Y,N,401857 (2000 PG3),4.2,JPL 85,2460600.5,0.8554,2.825,0.408,22.04,141.25,4.75,323.56,5.57,5.24,0.2076,0.212,16.12,APO,,
Y,N,152679 (1998 KU2),4.167,JPL 217,2460600.5,0.5524,2.251,1.008,4.93,120.32,3.38,205.72,262.32,3.49,0.2918,0.0602,16.67,APO,,
Y,N, 16064 Davidharvey (1999 RH27),4.106,JPL 106,2460600.5,0.5894,2.849,1.17,4.54,104.75,4.81,335.55,43.97,4.53,0.2049,0.203,16.86,AMO,,
Y,Y,  4015 Wilson-Harrington (1979 VA),4,JPL 331,2460600.5,0.6312,2.626,0.968,2.8,95.52,4.25,266.73,181.75,4.28,0.2317,0.0429,16.19,APO,,
Y,N,162741 (2000 WG6),3.945,JPL 43,2460600.5,0.4994,2.319,1.161,11.85,330.12,3.53,60.73,279.8,3.48,0.2791,0.19,17.5,AMO,,
Y,N,  6053 (1993 BW3),3.72,JPL 379,2460600.5,0.5287,2.147,1.012,21.58,74.93,3.15,318.23,82.05,3.28,0.3134,0.222,15.1,APO,,
Y,N,  1864 Daedalus (1971 FA),3.7,JPL 732,2460600.5,0.6143,1.461,0.564,22.21,325.66,1.77,6.61,34.28,2.36,0.5581,0.27,14.86,APO,,
Y,N,  9400 (1994 TW1),3.698,JPL 325,2460600.5,0.5809,2.587,1.084,36,62.14,4.16,3.36,51.21,4.09,0.2368,0.284,14.84,AMO,,
Y,N, 20826 (2000 UV13),3.687,JPL 471,2460600.5,0.6362,2.418,0.88,31.92,198.7,3.76,347.28,93.36,3.96,0.2621,0.0896,13.89,APO,,
Y,Y,  4183 Cuno (1959 LM),3.651,JPL 651,2460600.5,0.6361,1.981,0.721,6.67,237.02,2.79,294.35,175.91,3.24,0.3536,0.0281,14.17,APO,,
Y,N, 11405 (1999 CV3),3.621,JPL 657,2460600.5,0.3939,1.46,0.885,22.86,96.4,1.76,141.25,153.9,2.03,0.5589,0.119,15.27,APO,,
Y,N,112985 (2002 RS28),3.618,JPL 260,2460600.5,0.4923,2.22,1.127,46.99,105.3,3.31,211.96,271.73,3.31,0.2979,0.414,15.8,AMO,,
Y,N, 96189 Pygmalion (1991 NT3),3.605,JPL 295,2460600.5,0.307,1.821,1.262,14,293.18,2.46,287.18,234.83,2.38,0.4011,0.334,16.48,AMO,,
Y,N,  5332 Davidaguilar (1990 DA),3.6,JPL 429,2460600.5,0.4557,2.163,1.177,25.52,306.07,3.18,142.77,339.58,3.15,0.3098,0.307,15.04,AMO,,
Y,N,  5370 Taranis (1986 RA),3.6,JPL 69,2460600.5,0.637,3.319,1.205,19.17,161.31,6.05,177.79,90.75,5.43,0.163,0.213,15.23,AMO,,
Y,N,  5587 (1990 SB),3.57,JPL 519,2460600.5,0.5441,2.4,1.094,18.07,86.96,3.72,189.85,103.89,3.71,0.2651,0.31,13.89,AMO,,
Y,N,138013 (2000 CN101),3.518,JPL 297,2460600.5,0.6348,1.598,0.584,15.98,118.69,2.02,183.35,305.84,2.61,0.488,0.109,14.72,APO,,
Y,N, 68348 (2001 LO7),3.512,JPL 314,2460600.5,0.841,2.155,0.343,25.37,181.66,3.16,236.22,52.81,3.97,0.3116,0.385,14.26,APO,,
Y,N,  1916 Boreas (1953 RA),3.5,JPL 342,2460600.5,0.4493,2.273,1.252,12.88,335.86,3.43,340.6,280.05,3.29,0.2876,0.253,14.95,AMO,,
Y,N,276049 (2002 CE26),3.5,JPL 226,2460600.5,0.5612,2.233,0.98,47.29,228.07,3.34,161.87,358.03,3.49,0.2953,0.0966,16.67,APO,,
Y,N,  4957 Brucemurray (1990 XJ),3.499,JPL 201,2460600.5,0.2189,1.565,1.223,35.01,97.48,1.96,254.88,150.48,1.91,0.5033,0.425,15.11,AMO,,
Y,Y, 85713 (1998 SS49),3.484,JPL 287,2460600.5,0.6388,1.923,0.695,10.79,103.13,2.67,40.95,239.57,3.15,0.3695,0.0039,15.78,APO,,
Y,N,163691 (2003 BB43),3.449,JPL 106,2460600.5,0.5217,2.418,1.156,40.79,60.8,3.76,148.82,267.1,3.68,0.2622,0.356,17.09,AMO,,
Y,N,  1685 Toro (1948 OA),3.4,JPL 813,2460600.5,0.4361,1.368,0.771,9.38,127.27,1.6,274.21,196.26,1.96,0.616,0.0504,14.28,APO,,
Y,Y,  1981 Midas (1973 EA),3.4,JPL 232,2460600.5,0.6505,1.776,0.621,39.82,267.84,2.37,356.8,258.81,2.93,0.4163,0.00488,15.28,APO,,
Y,N,136874 (1998 FH74),3.398,JPL 280,2460600.5,0.8842,2.202,0.255,21.16,193.4,3.27,197.54,94.7,4.15,0.3016,0.235,15.75,APO,,
Y,N,  3554 Amun (1986 EB),3.341,JPL 265,2460600.5,0.2806,0.974,0.701,23.36,359.42,0.961,358.6,226.57,1.25,1.025,0.253,15.91,ATE,,
Y,N,443923 (2002 RU25),3.316,JPL 120,2460600.5,0.4827,2.177,1.126,28.9,306.35,3.21,5.05,336.42,3.23,0.3068,0.248,17.57,AMO,,
Y,N, 25330 (1999 KV4),3.21,JPL 443,2460600.5,0.3708,1.541,0.969,14.33,86.1,1.91,50.52,129.11,2.11,0.5154,0.174,16.74,APO,,
Y,N,385268 (2001 RC12),3.2,JPL 112,2460600.5,0.6429,3.211,1.147,27.41,185.55,5.75,208.91,355.06,5.27,0.1713,0.153,15.92,AMO,,
Y,N, 17274 (2000 LC16),3.183,JPL 232,2460600.5,0.5539,2.731,1.219,5.57,21.35,4.51,305.7,129.39,4.24,0.2183,0.21,16.87,AMO,,
Y,N,  4341 Poseidon (1987 KF),3.177,JPL 178,2460600.5,0.68,1.834,0.587,11.84,15.83,2.48,108.03,44.04,3.08,0.3968,0.194,16.08,APO,,
Y,N,153249 (2001 BW15),3.16,JPL 115,2460600.5,0.5905,2.118,0.867,41.24,298,3.08,328.82,174.9,3.37,0.3198,0.0581,15.57,APO,,
Y,Y,159857 (2004 LJ1),3.07,JPL 401,2460600.5,0.5935,2.263,0.92,23.15,140.02,3.4,235.54,319.37,3.61,0.2895,0.0159,15.47,APO,,
Y,N,190161 (2005 TJ174),3.041,JPL 154,2460600.5,0.4526,2.239,1.226,3.98,56.24,3.35,304.63,265.99,3.25,0.2942,0.23,16.73,AMO,,
Y,Y,111253 (2001 XU10),3.006,JPL 329,2460600.5,0.4394,1.754,0.983,42.02,6.97,2.32,310.15,62.23,2.52,0.4244,0.0287,15.28,APO,,
Y,N,454078 (2012 VV93),2.959,JPL 43,2460600.5,0.4891,2.24,1.145,25,145.72,3.35,314.12,209.43,3.34,0.2939,0.211,17.39,AMO,,
Y,N,  8567 (1996 HW1),2.928,JPL 595,2460600.5,0.4493,2.045,1.126,8.45,177.3,2.92,177.1,179.54,2.96,0.337,0.121,15.36,AMO,,
Y,Y,242450 (2004 QY2),2.914,JPL 287,2460600.5,0.4772,1.084,0.567,37.03,104.98,1.13,295.27,234.73,1.6,0.8734,0.0462,14.65,APO,,
Y,N,248926 (2006 WZ2),2.907,JPL 226,2460600.5,0.3303,1.694,1.135,24.65,65.98,2.21,354.36,82.08,2.25,0.4469,0.276,17.13,AMO,,
Y,N,234061 (1999 HE1),2.9,JPL 89,2460600.5,0.5723,2.362,1.01,8.16,221.95,3.63,65.79,338.86,3.71,0.2715,0.0532,17.7,APO,,
Y,N, 17182 (1999 VU),2.885,JPL 261,2460600.5,0.5533,1.387,0.62,9.26,203.23,1.63,333.48,25.7,2.15,0.6033,0.144,17.14,APO,,
Y,N,  6050 Miwablock (1992 AE),2.884,JPL 502,2460600.5,0.4372,2.202,1.239,6.41,285.05,3.27,88.15,33.19,3.17,0.3016,0.268,15.01,AMO,,
Y,N,414429 (2009 DC43),2.866,JPL 93,2460600.5,0.4894,1.801,0.919,20.85,172.86,2.42,84.23,141.33,2.68,0.4078,0.0921,18.03,APO,,
Y,N, 66146 (1998 TU3),2.864,JPL 428,2460600.5,0.4838,0.7875,0.407,5.41,84.91,0.699,101.97,230.7,1.17,1.41,0.0735,14.42,ATE,,
Y,N,  3288 Seleucus (1982 DV),2.8,JPL 462,2460600.5,0.4549,2.035,1.109,5.93,349.35,2.9,218.61,241.11,2.96,0.3395,0.108,15.35,AMO,,
Y,N, 21088 Chelyabinsk (1992 BL2),2.793,JPL 785,2460600.5,0.2384,1.706,1.3,38.45,27.16,2.23,297.83,28.4,2.11,0.4421,0.309,14.42,AMO,,
Y,N,436761 (2012 DN),2.773,JPL 48,2460600.5,0.5932,2.235,0.909,19.95,247.34,3.34,143.25,338.64,3.56,0.295,0.104,18.22,APO,,
Y,N,  5836 (1993 MF),2.754,JPL 363,2460600.5,0.5365,2.441,1.131,7.94,78.09,3.81,238.71,59.58,3.75,0.2584,0.185,15,AMO,,
Y,N,388185 (2006 CX10),2.75,JPL 80,2460600.5,0.5103,2.572,1.259,27.04,189.84,4.12,32.16,181.12,3.88,0.2389,0.26,17.79,AMO,,
Y,N,451217 (2009 XE11),2.72,JPL 42,2460600.5,0.6104,3.316,1.292,14.06,107.73,6.04,99.8,132.32,5.34,0.1633,0.383,17,AMO,,
Y,N, 20460 Robwhiteley (1999 LO28),2.716,JPL 364,2460600.5,0.4116,1.877,1.104,33.95,283.75,2.57,279.99,343.48,2.65,0.3833,0.331,15.42,AMO,,
Y,N,100004 (1983 VA),2.7,JPL 141,2460600.5,0.7026,2.591,0.77,15.7,13.72,4.17,76.3,253.3,4.41,0.2364,0.174,16.49,APO,,
Y,N,159929 (2005 UK),2.62,JPL 80,2460600.5,0.4077,1.887,1.118,54.42,19.58,2.59,222.54,245.69,2.66,0.3803,0.129,17.72,AMO,,
Y,N,  2061 Anza (1960 UA),2.6,JPL 197,2460600.5,0.5356,2.265,1.052,3.8,157.09,3.41,207.36,283.26,3.48,0.2891,0.0561,16.7,AMO,,
Y,N,139345 (2001 KA67),2.586,JPL 166,2460600.5,0.7018,1.805,0.538,22.28,38,2.42,108.34,253.18,3.07,0.4065,0.263,16.75,APO,,
Y,Y,  1620 Geographos (1951 RA),2.56,JPL 764,2460600.5,0.3356,1.246,0.828,13.34,277.01,1.39,337.15,289.36,1.66,0.709,0.03,15.27,APO,One of the most elongated known asteroids; passed close to Earth in 1994,
Y,N,416567 (2004 EB),2.538,JPL 49,2460600.5,0.6602,3.112,1.057,21.09,238.33,5.49,21,237.74,5.17,0.1795,0.201,17.13,AMO,,
Y,N,428223 (2006 WW),2.525,JPL 91,2460600.5,0.8679,2.682,0.354,32.72,197.95,4.39,88.19,47.68,5.01,0.2243,0.415,16.01,APO,,
Y,N, 38091 (1999 JT3),2.517,JPL 159,2460600.5,0.4012,2.17,1.299,9.33,225.04,3.2,64.82,306.59,3.04,0.3084,0.309,16.3,AMO,,
Y,N, 85275 (1994 LY),2.506,JPL 404,2460600.5,0.442,1.891,1.055,17.71,202.87,2.6,141.14,207.94,2.73,0.3791,0.0646,16.51,AMO,,
Y,N,429073 (2009 ND1),2.498,JPL 57,2460600.5,0.5714,2.732,1.171,11.83,292.26,4.52,97.95,89.05,4.29,0.2183,0.263,17.23,AMO,,
Y,N,  4055 Magellan (1985 DO2),2.49,JPL 824,2460600.5,0.3261,1.82,1.227,23.25,154.38,2.46,164.82,267.34,2.41,0.4014,0.24,14.94,AMO,,
Y,N,465749 (2009 WO6),2.49,JPL 114,2460600.5,0.5831,3.081,1.285,28.79,30.33,5.41,76.22,252.98,4.88,0.1822,0.345,17.31,AMO,,
Y,N,153271 (2001 CL42),2.441,JPL 209,2460600.5,0.4026,1.557,0.93,21.65,270.82,1.94,12.04,339.35,2.18,0.5073,0.192,17.41,APO,,
Y,N,214088 (2004 JN13),2.423,JPL 311,2460600.5,0.6902,2.89,0.895,13.35,279.27,4.91,85.03,13.6,4.89,0.2006,0.134,15.42,APO,,
Y,N,275976 (2001 XV10),2.381,JPL 149,2460600.5,0.5854,2.205,0.914,22.35,342.07,3.27,31.38,27.14,3.5,0.3011,0.0599,16.28,APO,,
Y,N,248083 (2004 QU24),2.358,JPL 254,2460600.5,0.6135,3.328,1.286,23.37,272.08,6.07,187.66,97.72,5.37,0.1623,0.54,16.13,AMO,,
Y,N,163760 (2003 OR14),2.343,JPL 224,2460600.5,0.5045,2.511,1.244,13.07,211.99,3.98,211.48,67.15,3.78,0.2477,0.278,16.68,AMO,,
Y,N, 36183 (1999 TX16),2.339,JPL 291,2460600.5,0.3324,1.551,1.036,38.22,311.22,1.93,54.64,8.46,2.07,0.5101,0.135,16.33,AMO,,
Y,Y,159504 (2000 WO67),2.324,JPL 161,2460600.5,0.6172,2.433,0.931,9.69,237.82,3.8,107.57,138.95,3.93,0.2597,0.0497,16.97,APO,,
Y,N,424089 (2007 DU103),2.314,JPL 83,2460600.5,0.5009,2.464,1.23,23.19,294.85,3.87,338.04,142.35,3.7,0.2548,0.373,17.57,AMO,,
Y,N,  3752 Camillo (1985 PA),2.306,JPL 476,2460600.5,0.3016,1.414,0.987,55.56,312.22,1.68,147.96,8.79,1.84,0.5864,0.0799,15.19,APO,,
Y,N, 68063 (2000 YJ66),2.301,JPL 404,2460600.5,0.4576,2.334,1.266,5.72,50.39,3.57,308.82,308.2,3.4,0.2765,0.274,15.56,AMO,,
Y,N,  1943 Anteros (1973 EC),2.3,JPL 775,2460600.5,0.2561,1.43,1.064,8.71,338.46,1.71,246.3,29.9,1.8,0.5761,0.0637,15.7,AMO,,
Y,N,  2100 Ra-Shalom (1978 RA),2.3,JPL 394,2460600.5,0.4365,0.832,0.469,15.75,356.08,0.759,170.78,89.62,1.2,1.299,0.15,16.23,ATE,,
Y,N,  2368 Beltrovata (1977 RA),2.3,JPL 394,2460600.5,0.4135,2.105,1.234,5.22,43.07,3.05,287.29,158.64,2.97,0.3228,0.232,15.15,AMO,,
Y,N,  5751 Zao (1992 AC),2.3,JPL 357,2460600.5,0.4254,2.101,1.207,16.07,25.46,3.05,121.63,254.35,3,0.3236,0.241,14.96,AMO,,
Y,N,  6178 (1986 DA),2.3,JPL 234,2460600.5,0.5845,2.815,1.169,4.31,127.48,4.72,64.49,54.83,4.46,0.2087,0.182,15.75,AMO,,
Y,N,  8013 Gordonmoore (1990 KA),2.3,JPL 190,2460600.5,0.4316,2.202,1.252,7.59,147.2,3.27,105.36,190.8,3.15,0.3016,0.249,17.09,AMO,,
Y,N,  7888 (1993 UC),2.298,JPL 202,2460600.5,0.6631,2.438,0.821,26.07,323.01,3.81,165.89,24.14,4.05,0.2589,0.0843,15.19,APO,,
Y,N,416694 (2004 YR32),2.292,JPL 75,2460600.5,0.6983,3.069,0.926,20.44,89.06,5.38,89.9,244.27,5.21,0.1833,0.247,17.69,APO,,
Y,N, 85804 (1998 WQ5),2.272,JPL 610,2460600.5,0.3543,1.721,1.111,27.66,269.88,2.26,285.68,71.26,2.33,0.4365,0.373,15.36,AMO,,
Y,N,452639 (2005 UY6),2.249,JPL 56,2460600.5,0.8726,2.249,0.286,12.21,180.92,3.37,343.54,187.59,4.21,0.2922,0.18,18.14,APO,,
Y,N,441952 (2010 LR68),2.246,JPL 94,2460600.5,0.5872,3.096,1.278,4.71,299.8,5.45,109.01,216.1,4.91,0.1809,0.299,18.39,AMO,,
Y,N,137805 (1999 YK5),2.243,JPL 361,2460600.5,0.5583,0.8294,0.366,16.75,292.86,0.755,349.53,90.64,1.29,1.305,0.113,16.73,ATE,,
Y,N,144901 (2004 WG1),2.24,JPL 132,2460600.5,0.522,1.64,0.784,13.04,232.48,2.1,41.98,271.07,2.5,0.4693,0.0545,17.53,APO,,
Y,Y, 90075 (2002 VU94),2.233,JPL 580,2460600.5,0.5755,2.136,0.907,8.91,30.77,3.12,226.73,128.37,3.37,0.3156,0.0281,15.37,APO,,
Y,N, 85709 (1998 SG36),2.23,JPL 660,2460600.5,0.3374,1.646,1.091,24.83,29.81,2.11,186.56,262,2.2,0.4667,0.125,15.93,AMO,,
Y,N,438902 (2009 WF104),2.226,JPL 161,2460600.5,0.6559,3.082,1.061,16.97,94.43,5.41,81.63,239.47,5.1,0.1822,0.28,17.5,AMO,,
Y,Y, 86039 (1999 NC43),2.22,JPL 307,2460600.5,0.5789,1.76,0.741,7.13,120.81,2.33,311.62,217.35,2.78,0.4221,0.0243,15.97,APO,,
Y,N,  3199 Nefertiti (1982 RA),2.2,JPL 428,2460600.5,0.2842,1.574,1.127,32.96,53.43,1.98,339.98,78.94,2.02,0.4989,0.216,15.03,AMO,,
Y,Y,451124 (2009 KC3),2.188,JPL 99,2460600.5,0.6984,3.209,0.968,10.01,337.28,5.75,340.11,231.75,5.45,0.1715,0.00631,18.08,APO,,
Y,N,501878 (2014 WF365),2.177,JPL 56,2460600.5,0.7616,2.263,0.54,17.82,15.22,3.41,165.7,288.62,3.99,0.2894,0.286,17.26,APO,,
Y,N,413192 (2002 VY94),2.16,JPL 99,2460600.5,0.6568,3.245,1.114,9.12,233.33,5.85,280.81,238.98,5.38,0.1686,0.177,16.9,AMO,,
Y,Y,436671 (2011 SV71),2.159,JPL 57,2460600.5,0.6102,2.628,1.025,13.42,190.53,4.26,80.59,63.01,4.23,0.2313,0.0164,18,AMO,,
Y,Y,143624 (2003 HM16),2.137,JPL 250,2460600.5,0.5773,1.967,0.831,35.54,47.18,2.76,195.84,262.55,3.1,0.3573,0.0499,15.96,APO,,
Y,N, 39796 (1997 TD),2.131,JPL 337,2460600.5,0.4677,2.251,1.198,12.91,171.01,3.38,158.94,10.19,3.3,0.2919,0.19,15.76,AMO,,
Y,N,243025 (2006 UM216),2.123,JPL 181,2460600.5,0.524,2.674,1.273,15.89,146.67,4.37,251.05,53.3,4.07,0.2255,0.313,16.06,AMO,,
Y,N, 11066 Sigurd (1992 CC1),2.104,JPL 378,2460600.5,0.3754,1.392,0.869,36.88,22.03,1.64,349.22,75.15,1.91,0.6004,0.118,15.23,APO,,
Y,N, 86324 (1999 WA2),2.102,JPL 306,2460600.5,0.4346,1.967,1.112,34.6,75.33,2.76,293.64,60.76,2.82,0.3574,0.343,15.83,AMO,,
Y,N,  1863 Antinous (1948 EA),2.1,JPL 238,2460600.5,0.6063,2.261,0.89,18.35,268.57,3.4,346,173.83,3.63,0.2898,0.187,15.45,APO,,
Y,N,445025 (2008 NS1),2.098,JPL 31,2460600.5,0.809,2.409,0.46,13.47,211.12,3.74,305.78,125.46,4.36,0.2637,0.17,17.43,APO,,
Y,N,465098 (2006 UQ217),2.073,JPL 94,2460600.5,0.5897,2.989,1.226,22.22,240.3,5.17,84.58,195.77,4.75,0.1907,0.351,16.62,AMO,,
Y,N,  3753 Cruithne (1986 TO),2.071,JPL 272,2460600.5,0.5148,0.9978,0.484,19.8,43.88,0.997,126.19,308.8,1.51,0.9889,0.0712,15.47,ATE,,
Y,Y, 12923 Zephyr (1999 GK4),2.06,JPL 450,2460600.5,0.4918,1.963,0.998,5.3,147.13,2.75,168.17,51.56,2.93,0.3584,0.0218,15.82,APO,,
Y,N,304153 (2006 OU10),2.054,JPL 49,2460600.5,0.3494,1.755,1.142,33.69,173.49,2.32,335.2,138.27,2.37,0.4241,0.155,17.81,AMO,,
Y,N,184990 (2006 KE89),2.039,JPL 322,2460600.5,0.7991,1.053,0.212,45.12,299.23,1.08,88.59,316.5,1.9,0.9117,0.228,16.43,APO,,
Y,N, 89355 (2001 VS78),2.038,JPL 533,2460600.5,0.3086,1.787,1.235,22.66,85.04,2.39,103.04,164.77,2.34,0.4127,0.445,15.8,AMO,,
Y,N, 85818 (1998 XM4),2.028,JPL 211,2460600.5,0.416,1.657,0.968,62.72,301.22,2.13,235.64,306.51,2.35,0.4622,0.112,15.46,APO,,
Y,N,442742 (2012 WP3),2.003,JPL 188,2460600.5,0.384,2.1,1.294,22.57,141.75,3.04,227.15,358.61,2.91,0.3238,0.349,17.77,AMO,,
Y,Y,153591 (2001 SN263),2,JPL 316,2460600.5,0.4799,1.988,1.034,6.69,173.04,2.8,325.72,343.42,2.94,0.3517,0.0493,17.11,AMO,,
Y,N,676261 (2016 EE156),1.99,JPL 67,2460600.5,0.8108,2.575,0.487,28.9,175.62,4.13,134.17,2.38,4.66,0.2385,0.476,17.89,APO,,
Y,Y,242643 (2005 NZ6),1.989,JPL 126,2460600.5,0.8652,1.833,0.247,8.41,48.96,2.48,38.79,237.52,3.42,0.397,0.00589,17.38,APO,,
Y,Y,414287 (2008 OB9),1.974,JPL 93,2460600.5,0.7597,3.203,0.77,13.5,238.56,5.73,202.7,262.76,5.64,0.172,0.0123,17.73,APO,,
Y,N,162038 (1996 DH),1.959,JPL 329,2460600.5,0.2766,1.587,1.148,17.23,351.54,2,309.27,342.14,2.03,0.4931,0.135,16.68,AMO,,
Y,N,457647 (2009 CZ),1.958,JPL 32,2460600.5,0.715,2.285,0.651,21.88,189.18,3.45,46.59,177.47,3.92,0.2853,0.314,17.9,APO,,
Y,N, 87311 (2000 QJ1),1.948,JPL 382,2460600.5,0.5121,1.59,0.776,7.7,343.53,2.01,191.42,132.63,2.4,0.4915,0.108,16.52,APO,,
Y,N,105140 (2000 NL10),1.946,JPL 498,2460600.5,0.8169,0.9143,0.167,32.54,281.67,0.874,237.29,35.84,1.66,1.127,0.355,15.74,ATE,,
Y,N,417264 (2006 AT2),1.93,JPL 238,2460600.5,0.6044,2.697,1.067,21.12,39.52,4.43,143.81,47.55,4.33,0.2225,0.149,17.1,AMO,,
Y,N,  7350 (1993 VA),1.921,JPL 369,2460600.5,0.3911,1.356,0.826,7.26,336.7,1.58,133.05,183.75,1.89,0.6242,0.0799,17.18,APO,,
Y,Y,161989 Cacus (1978 CA),1.9,JPL 288,2460600.5,0.2139,1.123,0.883,26.06,102.09,1.19,161.21,338.81,1.36,0.8285,0.0153,17.31,APO,,
Y,N,413421 (2004 VA15),1.9,JPL 49,2460600.5,0.5845,2.905,1.207,17.82,332.28,4.95,34.68,19.67,4.6,0.1991,0.237,18.32,AMO,,
